Iterazione,AccelX_T1_Mean,AccelX_T1_Variance,AccelX_T1_StdDev,AccelX_T1_Max,AccelX_T1_Min,AccelX_T1_AbsDerivative,AccelY_T1_Mean,AccelY_T1_Variance,AccelY_T1_StdDev,AccelY_T1_Max,AccelY_T1_Min,AccelY_T1_AbsDerivative,AccelZ_T1_Mean,AccelZ_T1_Variance,AccelZ_T1_StdDev,AccelZ_T1_Max,AccelZ_T1_Min,AccelZ_T1_AbsDerivative,AccelX_T2_Mean,AccelX_T2_Variance,AccelX_T2_StdDev,AccelX_T2_Max,AccelX_T2_Min,AccelX_T2_AbsDerivative,AccelY_T2_Mean,AccelY_T2_Variance,AccelY_T2_StdDev,AccelY_T2_Max,AccelY_T2_Min,AccelY_T2_AbsDerivative,AccelZ_T2_Mean,AccelZ_T2_Variance,AccelZ_T2_StdDev,AccelZ_T2_Max,AccelZ_T2_Min,AccelZ_T2_AbsDerivative,AccelT1_SMA,AccelT2_SMA,Label
60,1285.173,13293.33,115.297,1515,838,297,1991.58,6435.257,80.22,2086,1684,331,2480.627,21070.661,145.157,2719,2126,266,1879.16,271.414,16.475,1927,1836,14,1429.147,309.552,17.594,1479,1384,15,2269.4,298.8,17.286,2327,2222,35,5757.38,5577.706666666667,sitting
61,1313.74,78.712,8.872,1338,1291,6,2022.827,65.01,8.063,2046,2004,19,2548.367,55.112,7.424,2564,2531,22,1882.493,130.33,11.416,1926,1848,33,1443.147,146.952,12.122,1471,1412,3,2284.32,157.364,12.544,2317,2252,11,5884.933333333333,5609.96,sitting
62,1312.907,71.418,8.451,1334,1292,4,2020.493,45.717,6.761,2042,2002,9,2547.167,55.606,7.457,2565,2513,3,1881.313,123.148,11.097,1926,1845,15,1430.593,198.508,14.089,1471,1398,17,2268.7,184.957,13.6,2300,2218,2,5880.566666666667,5580.606666666667,sitting
63,1313.513,64.423,8.026,1340,1293,4,2020.24,50.916,7.136,2038,2006,6,2547.32,58.871,7.673,2565,2520,15,1883.987,153.28,12.381,1913,1848,20,1445.767,171.699,13.103,1482,1414,34,2286.6,171.027,13.078,2328,2251,31,5881.073333333334,5616.3533333333335,sitting
64,1311.62,67.436,8.212,1340,1291,18,2019.44,59.633,7.722,2039,2003,7,2545.947,47.93,6.923,2565,2520,14,1883.373,157.994,12.57,1921,1855,8,1431.673,214.793,14.656,1477,1391,35,2271.48,296.916,17.231,2328,2228,52,5877.006666666667,5586.526666666667,sitting
65,1311.013,55.0,7.416,1330,1293,7,2018.393,52.065,7.216,2046,2000,8,2545.7,48.477,6.963,2566,2529,1,1885.487,173.93,13.188,1915,1851,29,1437.967,217.166,14.737,1473,1401,36,2279.007,235.153,15.335,2309,2233,14,5875.106666666667,5602.46,sitting
66,1310.873,68.364,8.268,1334,1292,24,2018.207,53.471,7.312,2042,2001,10,2545.24,57.342,7.572,2565,2523,14,1886.307,157.746,12.56,1915,1833,4,1440.78,259.065,16.095,1482,1398,33,2280.933,246.689,15.706,2316,2235,26,5874.32,5608.02,sitting
67,1310.793,68.484,8.276,1334,1292,3,2017.253,60.682,7.79,2043,1996,3,2543.92,52.087,7.217,2564,2524,4,1884.827,151.863,12.323,1910,1833,16,1435.187,213.045,14.596,1464,1396,20,2274.013,279.093,16.706,2315,2235,14,5871.966666666666,5594.026666666667,sitting
68,1310.947,51.517,7.178,1328,1294,10,2019.473,60.796,7.797,2043,1998,4,2545.22,49.332,7.024,2564,2523,4,1886.0,118.053,10.865,1909,1860,5,1449.773,153.682,12.397,1484,1419,7,2291.287,181.004,13.454,2322,2250,3,5875.64,5627.06,sitting
69,1312.473,51.183,7.154,1331,1294,15,2017.447,60.22,7.76,2039,2000,6,2545.38,46.089,6.789,2563,2526,2,1885.573,105.551,10.274,1911,1856,20,1433.98,221.9,14.896,1497,1399,8,2273.387,226.357,15.045,2309,2231,14,5875.3,5592.94,sitting
70,1316.02,107.646,10.375,1351,1290,14,2017.953,51.138,7.151,2037,2000,4,2546.7,67.063,8.189,2566,2516,3,1889.56,188.433,13.727,1940,1851,2,1449.913,161.639,12.714,1497,1413,2,2290.873,185.911,13.635,2329,2255,7,5880.673333333333,5630.346666666666,sitting
71,1315.24,89.836,9.478,1337,1290,7,2013.9,47.717,6.908,2030,1996,4,2546.253,66.856,8.177,2572,2516,25,1888.127,214.231,14.637,1940,1851,38,1444.767,240.912,15.521,1480,1398,39,2286.22,270.065,16.434,2329,2243,14,5875.393333333333,5619.113333333334,sitting
72,1313.553,43.314,6.581,1328,1297,8,2015.167,56.246,7.5,2034,1987,5,2543.807,46.729,6.836,2560,2525,3,1887.54,159.088,12.613,1922,1826,24,1440.127,255.751,15.992,1496,1398,19,2278.587,214.496,14.646,2312,2243,26,5872.526666666667,5606.253333333333,sitting
73,1312.947,54.397,7.375,1337,1291,4,2018.553,64.874,8.054,2035,1999,9,2546.24,54.782,7.401,2565,2522,5,1890.587,136.602,11.688,1929,1865,11,1452.587,166.282,12.895,1496,1406,40,2295.027,175.039,13.23,2341,2251,7,5877.74,5638.2,sitting
74,1315.893,81.242,9.013,1343,1287,13,2016.413,49.949,7.067,2033,1998,16,2547.493,52.757,7.263,2563,2531,6,1888.693,153.799,12.402,1935,1849,13,1438.427,204.951,14.316,1474,1393,8,2277.553,241.047,15.526,2312,2230,17,5879.8,5604.673333333333,sitting
75,1318.84,75.214,8.673,1343,1296,17,2014.18,72.974,8.542,2040,1993,0,2549.273,57.652,7.593,2571,2531,6,1891.613,195.744,13.991,1937,1823,47,1449.82,215.894,14.693,1480,1416,28,2292.48,182.316,13.502,2335,2263,32,5882.293333333333,5633.913333333333,sitting
76,1319.6,142.867,11.953,1353,1288,6,2014.02,100.06,10.003,2041,1993,15,2549.747,58.949,7.678,2571,2527,15,1891.533,162.022,12.729,1936,1852,8,1444.347,244.8,15.646,1483,1414,6,2283.933,348.076,18.657,2335,2233,22,5883.366666666667,5619.8133333333335,sitting
77,1317.9,111.077,10.539,1353,1294,1,2019.073,106.108,10.301,2036,1993,28,2549.953,50.911,7.135,2572,2528,1,1890.773,185.922,13.635,1936,1838,4,1450.46,245.848,15.68,1485,1414,22,2292.42,321.83,17.94,2330,2233,32,5886.926666666666,5633.653333333334,sitting
78,1316.873,43.657,6.607,1332,1304,6,2016.407,68.068,8.25,2034,1994,13,2550.54,52.182,7.224,2568,2533,6,1890.48,206.37,14.366,1918,1820,25,1437.327,369.767,19.229,1485,1387,86,2276.733,646.342,25.423,2324,2203,65,5883.82,5604.54,sitting
79,1317.853,71.858,8.477,1342,1292,5,2008.953,54.551,7.386,2025,1985,22,2549.16,62.761,7.922,2571,2528,4,1884.107,211.509,14.543,1917,1850,6,1406.36,220.097,14.836,1439,1366,15,2236.533,299.316,17.301,2272,2193,21,5875.966666666666,5527.0,sitting
80,1315.427,54.298,7.369,1331,1296,10,2014.18,62.348,7.896,2033,1997,3,2548.52,56.01,7.484,2566,2529,4,1887.167,137.112,11.709,1918,1850,16,1424.247,347.546,18.643,1473,1379,59,2261.08,413.847,20.343,2303,2213,65,5878.126666666667,5572.493333333333,sitting
81,1317.607,58.825,7.67,1334,1298,11,2017.433,68.526,8.278,2038,1997,14,2548.807,46.009,6.783,2564,2527,19,1890.133,155.796,12.482,1915,1836,18,1446.947,212.064,14.562,1487,1402,17,2286.78,221.332,14.877,2347,2243,4,5883.846666666666,5623.86,sitting
82,1316.993,47.02,6.857,1339,1297,8,2016.047,64.511,8.032,2034,1988,0,2548.987,48.88,6.991,2566,2531,0,1891.873,127.297,11.283,1917,1855,12,1442.447,202.754,14.239,1477,1376,30,2281.413,175.669,13.254,2308,2243,1,5882.026666666667,5615.733333333334,sitting
83,1317.587,66.682,8.166,1343,1296,4,2017.033,55.646,7.46,2035,1988,7,2550.347,47.933,6.923,2574,2536,0,1893.32,131.751,11.478,1924,1864,0,1443.667,244.969,15.651,1494,1391,14,2284.073,241.415,15.538,2324,2227,39,5884.966666666666,5621.06,sitting
84,1317.893,59.109,7.688,1333,1296,12,2017.767,55.179,7.428,2041,2002,4,2550.24,46.689,6.833,2574,2536,7,1891.853,146.592,12.108,1922,1843,15,1435.9,198.57,14.091,1468,1391,10,2277.133,208.449,14.438,2321,2227,30,5885.9,5604.886666666666,sitting
85,1317.82,50.828,7.129,1336,1298,14,2017.4,46.6,6.826,2034,1999,7,2551.46,61.115,7.818,2573,2531,5,1894.1,120.09,10.959,1924,1853,0,1446.427,193.218,13.9,1489,1398,19,2288.013,239.586,15.479,2326,2216,16,5886.68,5628.54,sitting
86,1317.827,55.223,7.431,1338,1300,7,2016.873,50.671,7.118,2039,1999,11,2550.807,53.489,7.314,2570,2531,4,1891.893,129.975,11.401,1921,1851,7,1434.673,201.7,14.202,1467,1379,8,2276.153,239.543,15.477,2319,2216,2,5885.506666666667,5602.72,sitting
87,1317.08,51.14,7.151,1341,1299,7,2018.413,53.616,7.322,2039,2001,2,2549.673,52.887,7.272,2572,2529,9,1893.94,128.31,11.327,1927,1861,2,1448.493,165.41,12.861,1474,1391,13,2290.033,179.339,13.392,2324,2241,34,5885.166666666667,5632.466666666666,sitting
88,1317.847,75.836,8.708,1350,1295,18,2015.467,64.649,8.04,2034,1995,10,2550.22,60.198,7.759,2570,2532,18,1890.753,203.399,14.262,1927,1835,5,1426.247,337.079,18.36,1469,1353,38,2266.093,324.658,18.018,2310,2203,53,5883.533333333334,5583.093333333333,sitting
89,1323.407,57.721,7.597,1350,1304,1,2010.98,74.18,8.613,2038,1988,9,2553.44,54.513,7.383,2570,2528,7,1889.913,194.999,13.964,1926,1835,0,1412.467,295.796,17.199,1462,1352,18,2248.967,381.072,19.521,2296,2199,11,5887.826666666667,5551.346666666666,sitting
90,1319.953,51.378,7.168,1336,1301,18,2016.887,48.954,6.997,2038,2000,9,2553.027,63.533,7.971,2569,2528,5,1892.613,147.97,12.164,1926,1854,11,1442.687,216.882,14.727,1478,1397,27,2287.093,240.791,15.517,2332,2244,36,5889.866666666667,5622.393333333333,sitting
91,1319.633,58.992,7.681,1335,1295,11,2016.373,50.221,7.087,2037,1998,14,2552.113,52.074,7.216,2568,2532,4,1892.847,126.41,11.243,1919,1858,18,1446.273,194.919,13.961,1489,1399,11,2287.16,205.534,14.336,2334,2250,8,5888.12,5626.28,sitting
92,1319.58,55.284,7.435,1335,1296,7,2015.893,56.869,7.541,2037,1994,7,2551.86,49.0,7.0,2568,2528,8,1890.98,145.753,12.073,1922,1859,1,1442.26,173.499,13.172,1477,1399,2,2283.533,165.969,12.883,2317,2254,7,5887.333333333333,5616.7733333333335,sitting
93,1320.773,51.149,7.152,1339,1304,3,2017.133,47.329,6.88,2035,2002,3,2550.213,41.448,6.438,2567,2537,12,1892.547,140.274,11.844,1922,1844,13,1451.887,121.14,11.006,1484,1418,0,2296.367,106.779,10.333,2324,2272,4,5888.12,5640.8,sitting
94,1320.687,62.228,7.888,1340,1300,2,2015.553,59.767,7.731,2036,1992,12,2551.033,48.006,6.929,2565,2527,1,1893.273,128.025,11.315,1927,1860,5,1442.08,207.647,14.41,1484,1397,27,2281.513,317.183,17.81,2318,2225,13,5887.2733333333335,5616.866666666667,sitting
95,1319.96,49.705,7.05,1337,1297,10,2016.607,52.119,7.219,2036,1998,3,2550.653,45.853,6.771,2568,2532,2,1892.507,138.317,11.761,1920,1858,1,1444.773,191.882,13.852,1478,1410,54,2289.48,247.783,15.741,2326,2225,35,5887.22,5626.76,sitting
96,1320.953,47.644,6.902,1335,1303,3,2016.593,49.495,7.035,2032,1994,1,2550.587,48.109,6.936,2574,2533,12,1892.013,158.133,12.575,1925,1858,10,1450.98,212.726,14.585,1480,1413,11,2296.073,191.615,13.843,2335,2256,8,5888.133333333333,5639.066666666667,sitting
